"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""DOCUMENTOS SOFTBOX \/ PCMSO \/ PROGRAMA DE CONTROLE MEDICO  E SAUDE OCUPACIONAL"",""Setor"":""DEPARTAMENTO PESSOAL"",""Caixa Cliente"":""CAIXA 33"",""Container \/ Box"":""482849\/3"",""Data do Documento"":""21\/07\/2021"",""Etiqueta"":""2285990""}","2021-07-21",2285990,84097,"10A071013"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""CARTAO DE PONTO \/ DOCUMENTOS TH \/ FOLHA DE PAGAMENTO \/ RAIS \/ RELACAO ANUAL DE INFORMACOES SOCIAIS"",""Setor"":""DEPARTAMENTO PESSOAL"",""Caixa Cliente"":""CAIXA 32"",""Container \/ Box"":""482849\/2"",""Data do Documento"":""21\/07\/2021"",""Etiqueta"":""2285989""}","2021-07-21",2285989,84096,"10A071014"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JUNHO"",""Ano"":""2013"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO BANCARIO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 32"",""Container \/ Box"":""479938\/1"",""Data do Documento"":""30\/06\/2013"",""Etiqueta"":""2285988""}","2013-06-30",2285988,84095,"10A071015"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""MAIO A JULHO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE - EXTRATOS - MOVIMENTO DE BANCO - MOVIMENTO DE CAIXA - NOTA FISCAL DE ENTRADA "",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""32"",""Container \/ Box"":""529080"",""Data do Documento"":""31\/07\/2015"",""Etiqueta"":""2122666""}","2015-07-31",2122666,84094,"10A071016"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""DARF - DOCUMENTOS DE ARRECADACAO FEDERAL - DOCUMENTOS SOFTBOX - DOCUMENTOS TH - FOLHA DE PAGAMENTO - GFIP SEFIP - NOTA FISCAL DE ENTRADA - RAIS - RELACAO ANUAL DE INFORMACOES SOCIAIS"",""Setor"":""DEPARTAMENTO PESSOAL - CONTABILIDADE"",""Caixa Cliente"":""31"",""Container \/ Box"":""482849\/1"",""Data do Documento"":""21\/07\/2021"",""Etiqueta"":""2122665""}","2021-07-21",2122665,84093,"10A071017"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":""2012"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE - EXTRATOS BANCARIOS - MOVIMENTO DE BANCO - MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""31"",""Container \/ Box"":""479937\/3"",""Data do Documento"":""31\/12\/2012"",""Etiqueta"":""2122664""}","2012-12-31",2122664,84092,"10A071018"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":""2016"",""Descri\u00e7\u00e3o"":""DOSSIE DE ASSOCIADOS ATIVOS - PRONTUARIOS DE A - C"",""Setor"":""DEPARTAMENTO PESSOAL"",""Caixa Cliente"":""31"",""Container \/ Box"":""529035"",""Data do Documento"":""31\/12\/2016"",""Etiqueta"":""2122663""}","2016-12-31",2122663,84091,"10A071019"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""CAGED - CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS - DOCUMENTOS SOFTBOX - DOCUMENTOS TH"",""Setor"":""DEPARTAMENTO PESSOAL"",""Caixa Cliente"":""30"",""Container \/ Box"":""482848\/3"",""Data do Documento"":""21\/07\/2021"",""Etiqueta"":""2122662""}","2021-07-21",2122662,84090,"10A071020"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":""2016"",""Descri\u00e7\u00e3o"":""DOSSIE DE ASSOCIADO RESCISAO"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""30"",""Container \/ Box"":""529034"",""Data do Documento"":""31\/12\/2016"",""Etiqueta"":""2122661""}","2016-12-31",2122661,84089,"10A071021"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""SETEMBRO"",""Ano"":""2012"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE - EXTRATOS BANCARIOS - MOVIMENTO DE BANCO - MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""30"",""Container \/ Box"":""479937\/2"",""Data do Documento"":""31\/12\/2012"",""Etiqueta"":""2122660""}","2012-12-31",2122660,84088,"10A071022"
